,Day,Trips,OrigCode,DestCode,Origin,Destination,OPop,DEmpl,Ourban,Durban,OInc,DInc,Distance
108,Friday,36504,30107,30107,Vestre Aker,Vestre Aker,27837,13362,11.55,11.55,688000,688000,0.0
109,Friday,4417,30107,30108,Vestre Aker,Nordre Aker,27837,42238,11.55,10.5,688000,578000,5814.643757323524
110,Friday,754,30107,30109,Vestre Aker,Bjerke,27837,22537,11.55,5.85,688000,490000,10803.032090854053
111,Friday,261,30107,30110,Vestre Aker,Grorud,27837,9297,11.55,4.37,688000,453000,15367.004240249293
112,Friday,249,30107,30111,Vestre Aker,Stovner,27837,9490,11.55,5.04,688000,489000,17013.606925016727
113,Friday,854,30107,30112,Vestre Aker,Alna,27837,31427,11.55,9.23,688000,477000,13214.773751610515
114,Friday,700,30107,30113,Vestre Aker,Østensjø,27837,12470,11.55,7.66,688000,539000,14029.767287836234
115,Friday,735,30107,30114,Vestre Aker,Nordstrand,27837,11179,11.55,11.83,688000,607000,13181.248364298615
116,Friday,388,30107,30115,Vestre Aker,Søndre Nordstrand,27837,6701,11.55,6.16,688000,539000,19225.226605282223
117,Friday,4441,30107,30116,Vestre Aker,Sentrum,27837,77995,11.55,1.4,688000,335000,8555.691368731888
118,Friday,340,30107,30117,Vestre Aker,Marka,27837,793,11.55,5.699999999999999,688000,625000,13871.310949604289
119,Friday,4536,30108,30101,Nordre Aker,Gamle Oslo,31804,43121,10.5,4.75,578000,453000,5533.163597309787
120,Friday,5943,30108,30102,Nordre Aker,Grünerløkka,31804,29560,10.5,3.65,578000,450000,3692.4113394892015
121,Friday,9056,30108,30103,Nordre Aker,Sagene,31804,19408,10.5,2.34,578000,461000,1927.5610029732368
122,Friday,8400,30108,30104,Nordre Aker,St. Hanshaugen,31804,54104,10.5,2.8,578000,430000,3146.850240418258
123,Friday,7726,30108,30105,Nordre Aker,Frogner,31804,48082,10.5,5.35,578000,464000,6338.850027181776
124,Friday,3031,30108,30106,Nordre Aker,Ullern,31804,38334,10.5,7.1,578000,648000,6944.333803328359
125,Friday,4432,30108,30107,Nordre Aker,Vestre Aker,31804,13362,10.5,11.55,578000,688000,5771.982335361885
126,Friday,42459,30108,30108,Nordre Aker,Nordre Aker,31804,42238,10.5,10.5,578000,578000,0.0
127,Friday,3152,30108,30109,Nordre Aker,Bjerke,31804,22537,10.5,5.85,578000,490000,5462.955888110144
128,Friday,1035,30108,30110,Nordre Aker,Grorud,31804,9297,10.5,4.37,578000,453000,10026.928037505386
129,Friday,797,30108,30111,Nordre Aker,Stovner,31804,9490,10.5,5.04,578000,489000,11673.53072227282
130,Friday,2370,30108,30112,Nordre Aker,Alna,31804,31427,10.5,9.23,578000,477000,7874.697548866604
131,Friday,1711,30108,30113,Nordre Aker,Østensjø,31804,12470,10.5,7.66,578000,539000,9278.772478286974
132,Friday,1589,30108,30114,Nordre Aker,Nordstrand,31804,11179,10.5,11.83,578000,607000,10510.950188038312
133,Friday,660,30108,30115,Nordre Aker,Søndre Nordstrand,31804,6701,10.5,6.16,578000,539000,16763.571063423275
134,Friday,6779,30108,30116,Nordre Aker,Sentrum,31804,77995,10.5,1.4,578000,335000,5795.055008985391
135,Friday,432,30108,30117,Nordre Aker,Marka,31804,793,10.5,5.699999999999999,578000,625000,8513.925356751284
136,Friday,3370,30109,30101,Bjerke,Gamle Oslo,20501,43121,5.85,4.75,490000,453000,4851.499565967582
137,Friday,4333,30109,30102,Bjerke,Grünerløkka,20501,29560,5.85,3.65,490000,450000,3506.7370089967176
138,Friday,1982,30109,30103,Bjerke,Sagene,20501,19408,5.85,2.34,490000,461000,4251.802098436639
139,Friday,2215,30109,30104,Bjerke,St. Hanshaugen,20501,54104,5.85,2.8,490000,430000,6117.308045057484
140,Friday,1859,30109,30105,Bjerke,Frogner,20501,48082,5.85,5.35,490000,464000,8167.215233799408
141,Friday,858,30109,30106,Bjerke,Ullern,20501,38334,5.85,7.1,490000,648000,10880.711749697526
142,Friday,816,30109,30107,Bjerke,Vestre Aker,20501,13362,5.85,11.55,490000,688000,10712.829077629778
143,Friday,3309,30109,30108,Bjerke,Nordre Aker,20501,42238,5.85,10.5,490000,578000,5497.805791366676
144,Friday,21860,30109,30109,Bjerke,Bjerke,20501,22537,5.85,5.85,490000,490000,0.0
145,Friday,2614,30109,30110,Bjerke,Grorud,20501,9297,5.85,4.37,490000,453000,5720.587625217162
146,Friday,2172,30109,30111,Bjerke,Stovner,20501,9490,5.85,5.04,490000,489000,7184.740074671069
147,Friday,6369,30109,30112,Bjerke,Alna,20501,31427,5.85,9.23,490000,477000,5205.570612814606
148,Friday,1493,30109,30113,Bjerke,Østensjø,20501,12470,5.85,7.66,490000,539000,7087.619371894674
149,Friday,1000,30109,30114,Bjerke,Nordstrand,20501,11179,5.85,11.83,490000,607000,9728.353117764333
150,Friday,564,30109,30115,Bjerke,Søndre Nordstrand,20501,6701,5.85,6.16,490000,539000,15368.0886210311
151,Friday,3013,30109,30116,Bjerke,Sentrum,20501,77995,5.85,1.4,490000,335000,6430.349395915237
152,Friday,58,30109,30117,Bjerke,Marka,20501,793,5.85,5.699999999999999,490000,625000,13692.606400887784
153,Friday,1615,30110,30101,Grorud,Gamle Oslo,17273,43121,4.37,4.75,453000,453000,8623.655710726907
154,Friday,1280,30110,30102,Grorud,Grünerløkka,17273,29560,4.37,3.65,453000,450000,7289.907373025375
155,Friday,660,30110,30103,Grorud,Sagene,17273,19408,4.37,2.34,453000,461000,7230.42570426546
